NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant,num,Impact Grant,Reopening and Support Grant
Eastcoast Window Fashions & Home Decor,Small retail,no,yes,2,0,1
Eastern Chiropractic Centre,Self-regulated health professional,yes,yes,6,1,1
Eastern Entertainment Agency,"Live, performing arts for audience",yes,yes,3,1,1
Eastern Esthetics,Personal care service,yes,yes,7,1,1
Eastern Front Theatre,"Live, performing arts for audience",no,yes,3,0,1
Eastern Shore Optical,Self-regulated health professional,yes,yes,6,1,1
Eastside Billiards & Lounge,Drinking establishment,yes,yes,1,1,1
Eastside Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Eau Spa,Personal care service,yes,yes,7,1,1
Echo Counselling Services,Self-regulated health professional,yes,yes,6,1,1
Eco Chic Hair Studio,Personal care service,yes,yes,7,1,1
Ecstasy Beauty Studio,Personal care service,yes,yes,7,1,1
Eden Golf and Country Club,Restaurant with onsite dining,no,yes,4,0,1
Edgett Dance & Wellness,"Live, performing arts for audience",yes,yes,3,1,1
Edible Matters Food Company,Restaurant with onsite dining,yes,yes,4,1,1
Edna Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Ed's Books & More,Small retail,no,yes,2,0,1
Edwina's Foot Care Services,Self-regulated health professional,yes,yes,6,1,1
Edwina's Hair Design,Personal care service,yes,yes,7,1,1
Efendy Express,Restaurant with onsite dining,yes,yes,4,1,1
Efendy Turkish Mediterranean Grill,Restaurant with onsite dining,yes,yes,4,1,1
Efes Turkish Cuisine,Restaurant with onsite dining,yes,yes,4,1,1
Egg Roll King,Restaurant with onsite dining,yes,yes,4,1,1
Ehler Physiotherapy and Health Consultants,Self-regulated health professional,yes,yes,6,1,1
ela Greek Taverna,Restaurant with onsite dining,yes,yes,4,1,1
Element Dance Studio,Fitness establishment,yes,yes,0,1,1
Elena's Esthetics & Asian Market,Personal care service,yes,yes,7,1,1
Elevate Beauty Institute of Cosmetology,Personal care service,yes,yes,7,1,1
Eliot & Vine,Restaurant with onsite dining,yes,yes,4,1,1
Elite Hair Design,Personal care service,yes,yes,7,1,1
Elizabeth's Creative Hair Dezign,Personal care service,yes,yes,7,1,1
Elk's Salon,Personal care service,yes,yes,7,1,1
Elmsdale Community Chiropractic Center,Self-regulated health professional,yes,yes,6,1,1
Elmsdale Hair Company,Personal care service,no,yes,7,0,1
Elmsdale Pizzeria,Restaurant with onsite dining,yes,no,4,1,0
Elmsdale Vision Centre,Self-regulated health professional,yes,yes,6,1,1
Elsies's Used Clothing,Small retail,no,yes,2,0,1
Embellish Medical Aesthetics,Personal care service,yes,yes,7,1,1
Embellish Salon,Personal care service,yes,yes,7,1,1
Embodhi Nutrition and Yoga,Self-regulated health professional,yes,yes,6,1,1
Embrace Spa,Personal care service,yes,yes,7,1,1
Emera Centre Northside,Charity,yes,yes,7,1,1
Emlya Catering,Restaurant with onsite dining,yes,yes,4,1,1
Empower Physical Rehabilitation,Self-regulated health professional,yes,yes,6,1,1
Empowerment Health Services,Personal care service,yes,no,7,1,0
Empowerment Health Services,Self-regulated health professional,no,yes,6,0,1
En Pointe Studios,Fitness establishment,yes,yes,0,1,1
Endless Beauty Hair Salon,Personal care service,no,yes,7,0,1
Enfield Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Engine Room Pub,Restaurant with onsite dining,yes,yes,4,1,1
Enlighten Laser Inc,Personal care service,yes,yes,7,1,1
Entrenous Hairstyling,Personal care service,yes,yes,7,1,1
ENVE Hair,Personal care service,yes,yes,7,1,1
Envie A Vegan Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Essential Elements Hair,Personal care service,yes,yes,7,1,1
Essentially Yours Hair Salon,Personal care service,yes,yes,7,1,1
Esthetician,Personal care service,yes,no,7,1,0
Eurobeauty,Personal care service,yes,yes,7,1,1
European Pantry,Restaurant with onsite dining,yes,yes,4,1,1
Evangeline Trail Rides,Fitness establishment,yes,yes,0,1,1
Evan's Seafood,Restaurant with onsite dining,yes,yes,4,1,1
Evergreen Theatre,"Live, performing arts for audience",yes,yes,3,1,1
Everlasting Ink,Personal care service,yes,yes,7,1,1
Evolution Massage Therapy,Self-regulated health professional,yes,yes,6,1,1
Evolve Fitness Ltd,Fitness establishment,yes,yes,0,1,1
"Ewe-nique Boutique, Fibre Arts Emporium",Small retail,no,yes,2,0,1
Excel Fitness & Orthotics,Self-regulated health professional,yes,yes,6,1,1
Exquisite Cuts Barbershop,Personal care service,yes,yes,7,1,1
Eye World,Self-regulated health professional,yes,no,6,1,0
Eyes On Optometry Group,Self-regulated health professional,yes,yes,6,1,1
F1RST Fence,"Live, performing arts for audience",yes,yes,3,1,1
F45 Training Downtown Halifax,Fitness establishment,yes,yes,0,1,1
Faces,Personal care service,yes,yes,7,1,1
Fademasters Barbershop,Personal care service,yes,no,7,1,0
Fairview Chiropractic and Massage Centre,Self-regulated health professional,yes,yes,6,1,1
Fall River Chiropractic Clinic,Self-regulated health professional,yes,yes,6,1,1
Fall River Taekwon-Do,Fitness establishment,no,yes,0,0,1
Family Eyecare Clinic,Self-regulated health professional,yes,yes,6,1,1
Family Osteopathy,Self-regulated health professional,yes,yes,6,1,1
Family Vision Clinic,Self-regulated health professional,yes,yes,6,1,1
Fancy Nails,Personal care service,yes,yes,7,1,1
Fancy Pants Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Fans Chinese Restaurant,Restaurant with onsite dining,yes,no,4,1,0
Farias Soccer Academy Inc.,Fitness establishment,yes,yes,0,1,1
Fashion Fix,Personal care service,yes,yes,7,1,1
Fattoush,Restaurant with onsite dining,yes,yes,4,1,1
Feathered Edge,Personal care service,yes,yes,7,1,1
Feet First Orthopedics,Self-regulated health professional,yes,yes,6,1,1
Fergie's Hair Studio,Personal care service,yes,yes,7,1,1
Festival Antigonish Summer Theatre,"Live, performing arts for audience",yes,no,3,1,0
Fickle Frog Pub,Restaurant with onsite dining,yes,yes,4,1,1
Field Guide Restaurant & Bar,Restaurant with onsite dining,yes,yes,4,1,1
Fifty Shades of Hair 1,Personal care service,yes,yes,7,1,1
Fifty Shades of Hair 2,Personal care service,no,yes,7,0,1
Finbar's Irish Pub,Restaurant with onsite dining,yes,yes,4,1,1
Finbar's Irish Pub,Restaurant with onsite dining,yes,yes,4,1,1
Find Your Voice Music Therapy,Self-regulated health professional,yes,yes,6,1,1
Fine Lines Barbershop,Personal care service,yes,yes,7,1,1
Finer Diner,Restaurant with onsite dining,yes,no,4,1,0
Finianos Beauty,Personal care service,yes,yes,7,1,1
Fired Creations,Restaurant with onsite dining,yes,yes,4,1,1
First Choice Haircutters,Personal care service,yes,yes,7,1,1
First Choice Haircutters,Personal care service,yes,yes,7,1,1
First Impressions Medical Aesthetics & Rejuvenation Clinic,Personal care service,yes,yes,7,1,1
First Step Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Fit Folks,Fitness establishment,yes,yes,0,1,1
Fit Right Orthotics,Self-regulated health professional,yes,no,6,1,0
Fitness FX,Fitness establishment,yes,yes,0,1,1
Fitness Junkies,Fitness establishment,no,yes,0,0,1
Fitness Management,Fitness establishment,yes,yes,0,1,1
FIT-NUT Fitness,Fitness establishment,no,yes,0,0,1
Fitzgerald's Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Five Girls Baking,Small retail,no,yes,2,0,1
Flaunt,Personal care service,yes,yes,7,1,1
Flavours Catering,Restaurant with onsite dining,yes,yes,4,1,1
Fletcher's Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Fleur-De-Lis Tea Room & Dining Room,Restaurant with onsite dining,yes,yes,4,1,1
Flora's Gift Shop,Small retail,no,yes,2,0,1
Florist in Thyme,Personal care service,yes,no,7,1,0
Flowers and Nails,Personal care service,no,yes,7,0,1
Fong Sing Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Fong's Restaurant,Restaurant with onsite dining,yes,no,4,1,0
Foosing Chinese,Restaurant with onsite dining,yes,yes,4,1,1
Footprints Foot Care & Health Services,Self-regulated health professional,yes,yes,6,1,1
Forbes New to You,Small retail,no,yes,2,0,1
Forca Training Centre,Fitness establishment,no,yes,0,0,1
Forever Nice Nails,Personal care service,yes,yes,7,1,1
Fort Anne Caf̩,Restaurant with onsite dining,no,yes,4,0,1
Fortress Louisbourg,Restaurant with onsite dining,no,yes,4,0,1
Fortune Doughnut,Restaurant with onsite dining,yes,yes,4,1,1
Forward Music Group,"Live, performing arts for audience",yes,yes,3,1,1
Founders House Dining & Drinks,Restaurant with onsite dining,yes,yes,4,1,1
Four Leaves Nail & Beauty,Personal care service,yes,yes,7,1,1
Fox Hollow Golf Club,Restaurant with onsite dining,no,yes,4,0,1
Foxy Moon Hair Gallery,Personal care service,yes,yes,7,1,1
Frank & Dora's,Restaurant with onsite dining,yes,yes,4,1,1
Freddie's Fantastic Fishhouse,Restaurant with onsite dining,yes,yes,4,1,1
Free Spirit Therapeutic Riding Association,Charity,yes,yes,7,1,1
Freedom Miniatures,Small retail,no,yes,2,0,1
Freeman's Little New York,Restaurant with onsite dining,yes,yes,4,1,1
Freeman's Little New York,Restaurant with onsite dining,yes,yes,4,1,1
"Freewheeling Adventures, Sail Loft Yoga",Fitness establishment,yes,yes,0,1,1
Frenchy & Son Barber Shop,Personal care service,yes,yes,7,1,1
Frenchy's Snip & Clip,Personal care service,yes,yes,7,1,1
Fresh From The Oven Bakery N' More,Restaurant with onsite dining,yes,yes,4,1,1
Fresh Hair,Personal care service,yes,yes,7,1,1
Fresh New You Bath and Body,Small retail,no,yes,2,0,1
Freshii,Restaurant with onsite dining,yes,yes,4,1,1
Freshii,Restaurant with onsite dining,yes,yes,4,1,1
Freshii,Restaurant with onsite dining,yes,yes,4,1,1
Freshly Squeezed,Drinking establishment,yes,yes,1,1,1
"Fresho Smoothie, Juice and Salad Bar",Restaurant with onsite dining,yes,no,4,1,0
Friendly Breezes Equestrian Center,Fitness establishment,yes,yes,0,1,1
Friends Chinese Cuisine House,Restaurant with onsite dining,yes,yes,4,1,1
Friends Hair Care,Personal care service,yes,yes,7,1,1
Friends of Jane's,Small retail,no,yes,2,0,1
Fries & Co,Restaurant with onsite dining,yes,yes,4,1,1
Frosting Cake & Event Design,Small retail,no,yes,2,0,1
Frostings Nails,Personal care service,yes,yes,7,1,1
Fry Daddy's Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Fry Daddy's Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Fujiyama Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Functional Fitness,Fitness establishment,yes,yes,0,1,1
Fundy Building Supplies,Small retail,no,yes,2,0,1
Fundy Chiropractic and Wellness Centre,Self-regulated health professional,yes,yes,6,1,1
Fundy Dockside Restaurant & Bar,Restaurant with onsite dining,yes,yes,4,1,1
Fundy Hearing Solutions,Self-regulated health professional,yes,yes,6,1,1
Fundy Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Fundy Trail Physio Clinic,Self-regulated health professional,yes,yes,6,1,1
Fung Wah Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Funtopia,Fitness establishment,yes,no,0,1,0
Fusion Studio,Personal care service,yes,yes,7,1,1
Fyidoctors,Self-regulated health professional,no,yes,6,0,1
FYIDoctors Inc.,Self-regulated health professional,yes,no,6,1,0
Gabrieau's Bistro,Restaurant with onsite dining,yes,yes,4,1,1
Gahan House,Restaurant with onsite dining,yes,no,4,1,0
Gaia Global Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Gangnam Korean BBQ,Restaurant with onsite dining,yes,yes,4,1,1
Garden Food Bar,Restaurant with onsite dining,yes,yes,4,1,1
Gaudet Optical,Self-regulated health professional,yes,yes,6,1,1
General Ocularist,Self-regulated health professional,no,yes,6,0,1
Genesis Chiropractic & Wellness Centre,Self-regulated health professional,yes,yes,6,1,1
Genji Sushi,Restaurant with onsite dining,yes,yes,4,1,1
Gentle Touch Spa & Laser,Personal care service,yes,yes,7,1,1
Gentle Touch Spa & Laser,Personal care service,yes,yes,7,1,1
Georgie's Hair Design,Personal care service,yes,yes,7,1,1
Geri's Hair Design Studio,Personal care service,yes,yes,7,1,1
Get The Scoop,Restaurant with onsite dining,yes,yes,4,1,1
Gingerbread Haus Bakery,Restaurant with onsite dining,yes,yes,4,1,1
Ginger's Dancewear,Small retail,no,yes,2,0,1
Girls on Boards,Personal care service,no,yes,7,0,1
GJDE Enterprises Ltd.,Small retail,no,yes,2,0,1
Glace Bay Chiropractic Clinic,Self-regulated health professional,yes,yes,6,1,1
Glace Bay Citizens Service League,Personal care service,no,yes,7,0,1
Glenbourne Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Glenora Distillery,Drinking establishment,yes,yes,1,1,1
Glenora Distillery,Restaurant with onsite dining,yes,yes,4,1,1
Glitter Bean Cafe Co-Operative,Restaurant with onsite dining,yes,yes,4,1,1
Glooscap Corner/Glooscap Gaming,Restaurant with onsite dining,yes,yes,4,1,1
Glossed Nail Studio,Personal care service,yes,yes,7,1,1
Glow Spa,Personal care service,yes,yes,7,1,1
Go Active Kids,Fitness establishment,yes,no,0,1,0
Goji's Frozen Yogurt,Restaurant with onsite dining,yes,yes,4,1,1
Gold By Design Dental Lab,Self-regulated health professional,yes,yes,6,1,1
Gold Dust Tanning Hair & Esthetics,Personal care service,yes,yes,7,1,1
Golden Fortune Restaurant,Drinking establishment,yes,yes,1,1,1
Golden Touch Hair Design,Personal care service,no,yes,7,0,1
Golden Touch Tanning,Personal care service,yes,yes,7,1,1
Goldleaf Esthetics,Personal care service,yes,yes,7,1,1
Good Robot Brewing Company,Drinking establishment,yes,yes,1,1,1
Goodmore Kombucha,Small retail,no,yes,2,0,1
Goodwin Hotel,Restaurant with onsite dining,no,yes,4,0,1
Gorsebrook Lounge,Restaurant with onsite dining,yes,no,4,1,0
Gourmet Dumplings,Restaurant with onsite dining,no,yes,4,0,1
Governor's Pub & Eatery,Restaurant with onsite dining,yes,no,4,1,0
Gram's Place Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Grande Pre Winery,Restaurant with onsite dining,yes,yes,4,1,1
Granite Springs Golf Club,Restaurant with onsite dining,no,yes,4,0,1
Granny's Antiques & Gifts,Small retail,no,yes,2,0,1
Grasshoppers Martial Arts and After School,Fitness establishment,yes,yes,0,1,1
Grayco Foods Limited,Restaurant with onsite dining,no,yes,4,0,1
Great British Grub,Restaurant with onsite dining,yes,yes,4,1,1
Greco,Restaurant with onsite dining,yes,yes,4,1,1
Greco Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Greco Pizza/Robins Donuts,Restaurant with onsite dining,yes,yes,4,1,1
Green Elephant Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Green Leaf Psychological Services,Self-regulated health professional,yes,yes,6,1,1
Greene Therapy Counselling,Self-regulated health professional,yes,yes,6,1,1
GreenHill Hairstyling,Personal care service,no,yes,7,0,1
Grey Sea Artist & Event Management,"Live, performing arts for audience",yes,yes,3,1,1
Greywave Senior Care Consulting,Self-regulated health professional,yes,yes,6,1,1
Grindhouse Blade Care & Ware,Small retail,no,yes,2,0,1
Ground Up Equine Services,Fitness establishment,yes,yes,0,1,1
Ground Zero Climbing Gym,Fitness establishment,yes,yes,0,1,1
Grounded Cafe,Restaurant with onsite dining,yes,no,4,1,0
Grounded Journey Art Therapy,Self-regulated health professional,no,yes,6,0,1
Groundsound,"Live, performing arts for audience",yes,yes,3,1,1
Groundswell Guest House,Restaurant with onsite dining,yes,yes,4,1,1
GroundSwell Music,"Live, performing arts for audience",yes,yes,3,1,1
G-Street Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Guapa Boutique Inc.,Small retail,no,yes,2,0,1
Guocan Take Out Chinese Resturant,Restaurant with onsite dining,yes,yes,4,1,1
Gus' Pub & Grill,Restaurant with onsite dining,yes,yes,4,1,1
GymNation Gymnastics and Trampoline,Fitness establishment,no,yes,0,0,1
Habaneros,Restaurant with onsite dining,yes,yes,4,1,1
Habaneros,Restaurant with onsite dining,yes,yes,4,1,1
Habanero's Modern Taco Bar,Restaurant with onsite dining,yes,yes,4,1,1
Habaneros Woodside,Restaurant with onsite dining,yes,yes,4,1,1
Hair and Sea Studio,Personal care service,yes,yes,7,1,1
Hair By Bea,Personal care service,yes,yes,7,1,1
Hair Design Centre,Personal care service,yes,no,7,1,0
Hair Designs,Personal care service,yes,yes,7,1,1
Hair Devotion,Personal care service,yes,yes,7,1,1
Hair Expressions and Day Spa,Personal care service,yes,yes,7,1,1
Hair Focus,Personal care service,yes,yes,7,1,1
Hair Garden,Personal care service,yes,yes,7,1,1
Hair Hunters Cutting Edge,Personal care service,yes,yes,7,1,1
Hair She Goes Mobile Salon,Personal care service,yes,yes,7,1,1
Hair Studio 206,Personal care service,yes,yes,7,1,1
Hair Stylez,Personal care service,yes,yes,7,1,1
Hair to Go,Personal care service,yes,yes,7,1,1
Hair to Stay,Personal care service,yes,yes,7,1,1
HAIR.ink,Self-regulated health professional,yes,yes,6,1,1
Hairitage House Day Spa,Personal care service,yes,yes,7,1,1
HairSalon 36,Personal care service,yes,yes,7,1,1
Hala's Pizza and Donair,Restaurant with onsite dining,yes,yes,4,1,1
Half Acre Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Halflife Records Inc,"Live, performing arts for audience",yes,yes,3,1,1
Hali Deli,Restaurant with onsite dining,yes,yes,4,1,1
Haliente's Creative Studio,Fitness establishment,yes,yes,0,1,1
Halifax Backpackers and Alteregos Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Halifax Bread Factory,Restaurant with onsite dining,yes,yes,4,1,1
Halifax Bridge World,Fitness establishment,no,yes,0,0,1
Halifax Camerata Singers,"Live, performing arts for audience",yes,yes,3,1,1
Halifax Chiropractic Clinic,Self-regulated health professional,yes,yes,6,1,1
Halifax Comedy Festival,"Live, performing arts for audience",yes,yes,3,1,1
Halifax Dance Association,Charity,yes,yes,7,1,1
Halifax Hurricanes,"Live, performing arts for audience",yes,no,3,1,0
Halifax International Busker Festival,"Live, performing arts for audience",yes,no,3,1,0
Halifax Jazz Festival,"Live, performing arts for audience",yes,no,3,1,0
Halifax Music Co-Operative,Restaurant with onsite dining,yes,yes,4,1,1
Halifax Naturopathic Health Centre,Self-regulated health professional,yes,yes,6,1,1
Halifax Prep Basketball,Fitness establishment,yes,yes,0,1,1
Halifax Speech & Language Services,Self-regulated health professional,yes,yes,6,1,1
Halifax Surf School,Small retail,no,yes,2,0,1
Halifax Trojan Aquatic Club,Fitness establishment,yes,yes,0,1,1
Halifax Urban Folk Festival,"Live, performing arts for audience",yes,no,3,1,0
Halifax Wanderers Football Club,Small retail,no,yes,2,0,1
Halifax Yoga,Fitness establishment,yes,no,0,1,0
HaliMac Axe Throwing,Drinking establishment,yes,yes,1,1,1
HaliMac Axe Throwing,Drinking establishment,yes,yes,1,1,1
Halls Harbour Restaurant & Gift Shop,Restaurant with onsite dining,no,yes,4,0,1
Halo Salon & Spa,Personal care service,yes,yes,7,1,1
Hamachi Kita Sushi,Restaurant with onsite dining,yes,yes,4,1,1
Hammond Chiropractic Health Centre,Self-regulated health professional,yes,yes,6,1,1
Hammonds Plains Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Hammonds Plains Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Hands First Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Hanna's Variety,Restaurant with onsite dining,yes,no,4,1,0
Happenstance,Small retail,no,yes,2,0,1
Happy Feet Orthotics,Personal care service,yes,yes,7,1,1
Happy Garden Chinese Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Happy Kids,Fitness establishment,yes,no,0,1,0
Happy Smiles Dental Hygiene,Self-regulated health professional,yes,yes,6,1,1
Happy Sushi,Restaurant with onsite dining,yes,yes,4,1,1
Happy Veal Hot Pot,Restaurant with onsite dining,yes,yes,4,1,1
Harbour House Ales & Spirits,Restaurant with onsite dining,yes,yes,4,1,1
Harbour Restaurant & Bar,Restaurant with onsite dining,no,yes,4,0,1
Harbour View Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Harbourside Rehab,Self-regulated health professional,yes,yes,6,1,1
Harbourside Wellness & Spa,Self-regulated health professional,yes,yes,6,1,1
Harbourview Motel,Restaurant with onsite dining,yes,yes,4,1,1
Harmony Hair Spa by A & Co.,Personal care service,yes,yes,7,1,1
Harmony Health Centre Co-operative,Self-regulated health professional,yes,yes,6,1,1
Harvey's,Restaurant with onsite dining,yes,yes,4,1,1
Harvey's,Restaurant with onsite dining,yes,yes,4,1,1
Hatfield Farm,Restaurant with onsite dining,yes,yes,4,1,1
Hazel's Handpicked Clothing,Small retail,no,yes,2,0,1
Head Experts Salon & Barbershop,Personal care service,no,yes,7,0,1
Head Shoppe,Personal care service,yes,yes,7,1,1
Head Shoppe,Personal care service,yes,no,7,1,0
Head Shoppe,Personal care service,yes,no,7,1,0
Headliners Studio,Personal care service,yes,yes,7,1,1
Heads Up Hair Design,Personal care service,yes,yes,7,1,1
Headshoppe,Personal care service,yes,no,7,1,0
Headshoppe,Personal care service,yes,yes,7,1,1
Headstart Tennis,Fitness establishment,yes,yes,0,1,1
Headstart Tennis Centre,Fitness establishment,yes,yes,0,1,1
Health First Chiropractic and Massage,Self-regulated health professional,yes,yes,6,1,1
Healthy Link Chiropractic Wellness Centre,Self-regulated health professional,yes,yes,6,1,1
HealthyWay Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
Hearing Institute Atlantic,Self-regulated health professional,no,yes,6,0,1
Heartwood Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Hearwell Hearing Aid Solutions,Self-regulated health professional,yes,yes,6,1,1
Hebel's Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Helen's Family Barber Shop,Personal care service,yes,yes,7,1,1
Helson Chiropractic Health Centre,Self-regulated health professional,yes,yes,6,1,1
Henry Street Pub,Drinking establishment,yes,yes,1,1,1
Heppy's Pie Lady,Restaurant with onsite dining,yes,no,4,1,0
Heritage Brewing Co.,Drinking establishment,yes,yes,1,1,1
Heritage PhysioCare At Home,Self-regulated health professional,yes,yes,6,1,1
Herring Choker Deli,Restaurant with onsite dining,no,yes,4,0,1
HFX Tattoo,Personal care service,yes,yes,7,1,1
Hidden Beauty Hair Salon and Esthetic Studio,Personal care service,yes,yes,7,1,1
Hidden Gem Hair Boutique,Personal care service,yes,yes,7,1,1
Hideaway Salon,Personal care service,yes,yes,7,1,1
Highland Arts Theatre,"Live, performing arts for audience",yes,yes,3,1,1
Highland Chiropractic Clinic,Self-regulated health professional,yes,yes,6,1,1
Highland Eye Care,Self-regulated health professional,yes,yes,6,1,1
Highland Hearing Clinic,Self-regulated health professional,yes,yes,6,1,1
Highland Optical Limited,Self-regulated health professional,yes,yes,6,1,1
Highland Shoe Repair,Personal care service,no,yes,7,0,1
Highlander Strength and Fitness,Fitness establishment,yes,yes,0,1,1
Hitlz Tae Kwon Do,Fitness establishment,yes,yes,0,1,1
Ho Ho Wok,Restaurant with onsite dining,yes,yes,4,1,1
Hockey Ambitions Inc.,Fitness establishment,yes,yes,0,1,1
Hold Fast Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Holy Cross Pomquet,Charity,yes,no,7,1,0
Homeopathic Healing,Self-regulated health professional,no,yes,6,0,1
Honey Bee Ice Cream Parlour,Restaurant with onsite dining,yes,yes,4,1,1
Hong Fa Restaurant,Restaurant with onsite dining,yes,no,4,1,0
Hong Yun Chinese Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Hong's Kithcen,Restaurant with onsite dining,yes,yes,4,1,1
Hop Skip Jump Indoor Play Space,Fitness establishment,yes,yes,0,1,1
Hop Skip Jump Indoor Play Space,Fitness establishment,yes,yes,0,1,1
HopYard Halifax,Restaurant with onsite dining,yes,yes,4,1,1
Horizon Achievement Centre,Charity,yes,yes,7,1,1
Horton Ridge Malt & Grain Co,Drinking establishment,yes,yes,1,1,1
Hounds On The Hill,Personal care service,yes,yes,7,1,1
House of Cheng,Restaurant with onsite dining,yes,yes,4,1,1
House of Eights Dance Studio,Fitness establishment,yes,yes,0,1,1
House of Hair Design,Small retail,no,yes,2,0,1
House of Wong Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
HRM Hemlock Holding,Personal care service,yes,yes,7,1,1
Huang's Restaurant,Restaurant with onsite dining,yes,no,4,1,0
Huang's Restaurant,Restaurant with onsite dining,yes,no,4,1,0
Hub Grub,Restaurant with onsite dining,yes,yes,4,1,1
Hubbards Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Hubbard's Cove Coffee,Restaurant with onsite dining,no,yes,4,0,1
Hugo's Bar & Grill,Drinking establishment,yes,yes,1,1,1
Humani-T South Park,Restaurant with onsite dining,yes,yes,4,1,1
Hupman Brothers Productions,"Live, performing arts for audience",yes,yes,3,1,1
Hush Aesthetics,Personal care service,yes,yes,7,1,1
Hygiene By Careen,Self-regulated health professional,yes,yes,6,1,1
I C Video Productions,"Live, performing arts for audience",yes,no,3,1,0
I Love Pho Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
I Promise Performance,"Live, performing arts for audience",yes,yes,3,1,1
I Stop Pain Acupuncture & Chinese Herb Center,Self-regulated health professional,yes,yes,6,1,1
IBeautify,Personal care service,yes,yes,7,1,1
Ice Patch Hollow Indoor Playground,Fitness establishment,yes,yes,0,1,1
Iceworks,Restaurant with onsite dining,yes,yes,4,1,1
Ihab Barber Shop,Personal care service,yes,yes,7,1,1
il Ferramenta,Restaurant with onsite dining,yes,no,4,1,0
il Mercato,Restaurant with onsite dining,yes,yes,4,1,1
il Porto Pizzeria & Pasta House,Restaurant with onsite dining,yes,yes,4,1,1
Ilbunji Korean & Japanese Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Illusions Hair Salon,Personal care service,yes,yes,7,1,1
Imagine Salon & Spa,Personal care service,yes,yes,7,1,1
Impact Dance,"Live, performing arts for audience",yes,yes,3,1,1
Impact Sound Production,"Live, performing arts for audience",yes,yes,3,1,1
Impressions Unisex Hair Salon,Personal care service,yes,yes,7,1,1
In Focus Optical,Self-regulated health professional,yes,yes,6,1,1
In Motion Chiropractic Centre,Self-regulated health professional,yes,yes,6,1,1
In Spring Fine Asian Fusion Cuisine,Restaurant with onsite dining,no,yes,4,0,1
In the Raw,Restaurant with onsite dining,no,yes,4,0,1
Indochine Banh Mi,Restaurant with onsite dining,yes,no,4,1,0
Inkerbelle Tattoos,Personal care service,yes,yes,7,1,1
Inn On The Lake,Restaurant with onsite dining,yes,yes,4,1,1
Inn the Elms,Restaurant with onsite dining,yes,yes,4,1,1
Innana Laser Clinic,Personal care service,yes,yes,7,1,1
Inner Ocean Healing Centre,Self-regulated health professional,yes,yes,6,1,1
Inner Strength Taekwondo Academy,Fitness establishment,yes,yes,0,1,1
Inner Sun Yoga,Fitness establishment,yes,yes,0,1,1
Innovative Hearing Solutions Inc,Self-regulated health professional,yes,yes,6,1,1
In-person trade shows and exhibitions,"Live, performing arts for audience",yes,yes,3,1,1
In-person trade shows and exhibitions,"Live, performing arts for audience",yes,yes,3,1,1
In-person trade shows and exhibitions,"Live, performing arts for audience",yes,yes,3,1,1
In-person trade shows and exhibitions,"Live, performing arts for audience",yes,yes,3,1,1
In-person trade shows and exhibitions,"Live, performing arts for audience",yes,yes,3,1,1
In-person trade shows and exhibitions,"Live, performing arts for audience",yes,no,3,1,0
In-person trade shows and exhibitions,"Live, performing arts for audience",yes,yes,3,1,1
Insight Optometry,Self-regulated health professional,yes,yes,6,1,1
Instyle Hair Design,Personal care service,yes,yes,7,1,1
Integrity Cheer Empire,Fitness establishment,yes,yes,0,1,1
Integrity's Haven Recycling,Personal care service,no,yes,7,0,1
Intentions Massage Therapy and Yoga,Self-regulated health professional,yes,yes,6,1,1
