NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant,num,Impact Grant,Reopening and Support Grant
Amin's Indian Food,Restaurant with onsite dining,yes,yes,4,1,1
Amy's Embroidery,Small retail,no,yes,2,0,1
Anchor Professional and Training Services,Personal care service,yes,yes,7,1,1
Anchored Coffee Inc,Restaurant with onsite dining,yes,yes,4,1,1
Anchors Away Family Restaurant,Restaurant with onsite dining,yes,no,4,1,0
ANDO Salon & Laser,Personal care service,yes,yes,7,1,1
Andrea's Music Studio,"Live, performing arts for audience",yes,no,3,1,0
Andrew's Pizzeria,Restaurant with onsite dining,yes,no,4,1,0
Anesis Esthetics and Electrolysis,Personal care service,yes,yes,7,1,1
Angela's Home Decor,Small retail,no,yes,2,0,1
Angela's Kitchen & Catering,Restaurant with onsite dining,no,yes,4,0,1
Angels Nail & Spa,Personal care service,yes,yes,7,1,1
Angie's Family Restaurant Ltd,Restaurant with onsite dining,yes,yes,4,1,1
Annabell's Fashions,Small retail,no,yes,2,0,1
Annapolis Brewing Company,Drinking establishment,yes,yes,1,1,1
Annapolis Cider Company,Drinking establishment,yes,no,1,1,0
Annapolis County Athletics Society,Fitness establishment,yes,yes,0,1,1
Annapolis Eye Care Centre,Self-regulated health professional,yes,yes,6,1,1
Annapolis Valley Apple Blossom Festival,Charity,yes,yes,7,1,1
Annapolis Valley Wellness Centre,Self-regulated health professional,yes,yes,6,1,1
Anna's Cafe & Grill,Restaurant with onsite dining,yes,yes,4,1,1
Anna's Hair Salon,Personal care service,yes,yes,7,1,1
Annie's Place Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Annis Hair Oasis,Personal care service,yes,yes,7,1,1
Ansena Hair Salon & Extensions,Personal care service,no,yes,7,0,1
Antigonish Aesthetic Centre,Personal care service,no,yes,7,0,1
Antigonish Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Antigonish Optical,Self-regulated health professional,yes,yes,6,1,1
Antojo Tacos & Tequila,Restaurant with onsite dining,yes,yes,4,1,1
Anxiety and Trauma Clinic of Nova Scotia,Self-regulated health professional,yes,yes,6,1,1
Anything Fitness,Fitness establishment,yes,yes,0,1,1
Apartment 3 Espresso Bar,Restaurant with onsite dining,yes,yes,4,1,1
Apex Hearing,Self-regulated health professional,yes,yes,6,1,1
Appearances Hair Studio,Personal care service,yes,yes,7,1,1
Apple Valley CrossFit,Fitness establishment,yes,yes,0,1,1
Appleton Chocolates Company,Small retail,no,yes,2,0,1
Applewoods Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Ardmore Tea Room,Restaurant with onsite dining,yes,yes,4,1,1
Ardoise Community Recreation Centre,Charity,yes,yes,7,1,1
Argyle Fine Art,Small retail,no,yes,2,0,1
Arirang Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Armdale Chiropractic Health Centre,Self-regulated health professional,yes,yes,6,1,1
Armview Restaurant & Lounge,Restaurant with onsite dining,yes,yes,4,1,1
Arnold Chiropractic Clinic,Self-regulated health professional,yes,yes,6,1,1
Art of Eating Deli & Catering,Restaurant with onsite dining,yes,yes,4,1,1
Arthritis and Injury Care,Self-regulated health professional,yes,yes,6,1,1
Artisan Hair Salon,Small retail,no,yes,2,0,1
Artistic Hair Workx,Personal care service,yes,yes,7,1,1
As You like It,Restaurant with onsite dining,yes,yes,4,1,1
As You Like It Creative Sandwich Bar,Restaurant with onsite dining,no,yes,4,0,1
As You Like It Creative Sandwich Bar,Restaurant with onsite dining,no,yes,4,0,1
Asado Wood Fired Grill,Restaurant with onsite dining,yes,yes,4,1,1
Asana Yoga & Massage,Personal care service,no,yes,7,0,1
Ascendo Fitness,Fitness establishment,yes,yes,0,1,1
Ascension Barbershop and Acccessories,Personal care service,yes,yes,7,1,1
Ascension Grooming,Personal care service,no,yes,7,0,1
Ashlei Ballet School,Fitness establishment,yes,yes,0,1,1
Aspirations Hair Design,Personal care service,yes,yes,7,1,1
Aspire Esthetics,Personal care service,yes,yes,7,1,1
Associate Chiropractic Centre,Self-regulated health professional,yes,yes,6,1,1
At Nadine's Unisex Hairstyling,Personal care service,yes,yes,7,1,1
Atelier Esthetics,Personal care service,yes,yes,7,1,1
Athens Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Athletics Gymnastics Academy,Fitness establishment,yes,yes,0,1,1
Atlantic AudioPro,"Live, performing arts for audience",yes,yes,3,1,1
Atlantic Balance and Dizziness Centre,Self-regulated health professional,yes,yes,6,1,1
Atlantic Chican Seafood,Fitness establishment,yes,no,0,1,0
Atlantic Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Atlantic Cirque,Fitness establishment,yes,yes,0,1,1
Atlantic Dance Academy,Fitness establishment,yes,yes,0,1,1
Atlantic Eye Centre,Self-regulated health professional,yes,yes,6,1,1
Atlantic Roots Hair Design,Personal care service,yes,no,7,1,0
Atlantic Skin Care,Personal care service,yes,yes,7,1,1
Atlantic Tennis Centre,Fitness establishment,yes,yes,0,1,1
Atmosphere Day Spa,Personal care service,yes,yes,7,1,1
Attune Chiropractic Centre,Self-regulated health professional,yes,yes,6,1,1
Auberge Giseles Inn and Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Auberge Yellow Tuna,Fitness establishment,yes,yes,0,1,1
Aumbience Yoga,Fitness establishment,yes,yes,0,1,1
Aurora Aesthetics,Personal care service,yes,yes,7,1,1
Authentic Chinese Acupuncture,Self-regulated health professional,no,yes,6,0,1
Autism Nova Scotia,Charity,yes,yes,7,1,1
Avodah Cafe & Ice Cream Hut,Restaurant with onsite dining,yes,yes,4,1,1
Avon Denture Clinic,Self-regulated health professional,yes,yes,6,1,1
Avon Valley Bowling Lanes,Drinking establishment,yes,yes,1,1,1
Awareness Golf,Fitness establishment,yes,yes,0,1,1
AXE,Restaurant with onsite dining,yes,yes,4,1,1
Aziz Master Taylor and Dry Cleaning,Small retail,no,yes,2,0,1
Baby Chic Clothing & Shoes,Small retail,no,yes,2,0,1
Baby Panda Asian Cuisine,Restaurant with onsite dining,yes,yes,4,1,1
Back Street Music,"Live, performing arts for audience",yes,no,3,1,0
Back to Basics Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Back to Health Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Backoos Korean Food,Restaurant with onsite dining,no,yes,4,0,1
Bad Apple Brewhouse,Drinking establishment,yes,yes,1,1,1
Bai Wei Bar & Grill,Restaurant with onsite dining,yes,yes,4,1,1
Baile-Mor Salon Spa,Personal care service,yes,yes,7,1,1
"Bailey's Bakery, Seafood & Grill Restaurant",Restaurant with onsite dining,no,yes,4,0,1
Bain's Old World Bakery,Restaurant with onsite dining,yes,yes,4,1,1
Baked Food Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
Baked Inn Bakery & Eatery,Restaurant with onsite dining,yes,yes,4,1,1
Balance Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Balance FItness,Fitness establishment,no,yes,0,0,1
Balance Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Bamboo Garden,Restaurant with onsite dining,yes,no,4,1,0
Banook Fitness,Fitness establishment,yes,yes,0,1,1
Bao Phu Restaurant Limited,Restaurant with onsite dining,no,yes,4,0,1
Bap House Korean Kitchen,Restaurant with onsite dining,yes,no,4,1,0
Bap House Korean Kitchen,Restaurant with onsite dining,no,yes,4,0,1
Bar Kismet,Restaurant with onsite dining,yes,yes,4,1,1
Bar Stillwell,Drinking establishment,yes,yes,1,1,1
Barbers Corner,Personal care service,yes,yes,7,1,1
